gen_image,image1.webp,image2.jpg,image3.jpg,image4.webp,image5.png
miku0_part1.png,5.002,6.165,5.213,7.016,7.636
miku0_part2.png,4.333,5.533,4.935,6.148,6.804
miku0_part3.png,3.707,7.517,7.264,7.768,8.285
miku100_part1.png,5.798,5.042,4.391,5.874,6.988
miku100_part2.png,4.447,6.838,6.181,7.767,8.288
miku100_part3.png,4.478,6.881,6.279,7.803,8.535
miku150_part1.png,3.147,7.946,6.983,7.992,7.708
miku150_part2.png,4.198,6.228,5.637,6.757,7.308
miku150_part3.png,4.426,6.679,6.049,7.545,8.134
miku200_part1.png,5.281,4.958,4.559,5.959,7.055
miku200_part2.png,3.787,6.198,5.403,6.994,6.834
miku200_part3.png,4.764,7.725,7.347,8.536,9.185
miku250_part1.png,3.478,6.56,6.371,7.073,7.148
miku250_part2.png,4.215,6.309,5.915,6.918,7.559
miku250_part3.png,3.525,6.794,6.856,6.999,6.885
miku50_part1.png,4.504,6.62,6.027,7.338,7.862
miku50_part2.png,4.739,6.945,6.232,7.594,8.573
miku50_part3.png,4.414,7.704,6.961,8.412,8.523
