gen_image,image1.jpg,image2.png,image3.jpeg,image4.jpg,image5.jpg
cat0_part1.png,9.501,5.698,6.81,7.475,9.776
cat0_part2.png,6.336,5.584,3.997,4.845,7.564
cat0_part3.png,7.535,6.337,4.828,5.622,8.998
cat100_part1.png,7.422,4.492,5.637,6.649,6.856
cat100_part2.png,9.507,5.314,7.011,7.927,8.761
cat100_part3.png,8.087,7.211,5.192,6.249,9.932
cat200_part1.png,7.815,5.302,5.4,5.921,8.455
cat200_part2.png,7.181,5.262,4.909,5.544,7.946
cat200_part3.png,8.264,4.389,6.512,7.509,7.255
cat300_part1.png,6.279,5.729,4.167,4.832,7.29
cat300_part2.png,6.587,5.447,4.783,4.916,7.391
cat300_part3.png,6.87,5.272,4.927,5.598,7.431
cat400_part1.png,8.766,4.865,6.53,7.432,8.168
cat400_part2.png,7.126,5.155,4.853,5.618,7.607
cat400_part3.png,7.722,6.813,4.855,5.721,9.451
cat500_part1.png,7.416,5.201,4.707,5.659,8.425
cat500_part2.png,7.659,5.206,5.632,6.145,7.929
cat500_part3.png,7.333,6.4,4.563,5.573,9.3
cat600_part1.png,7.27,5.646,5.244,6.045,7.85
cat600_part2.png,8.181,5.678,5.971,6.433,8.674
cat600_part3.png,7.324,5.388,4.611,5.616,8.109
